time(s),correct_value
0.0002,35.2713
0.0004,44.3562
0.0006,53.266
0.0008,61.9657
0.001,70.4207
0.0012,78.5979
0.0014,86.4648
0.0016,93.9906
0.0018,101.1454
0.002,107.901
0.0022,114.2307
0.0024,120.1097
0.0026,125.5146
0.0028,130.4242
0.003,134.8191
0.0032,138.6819
0.0034,141.9974
0.0036,144.7525
0.0038,146.9363
0.004,148.5402
0.0042,149.5579
0.0044,149.9854
0.0046,149.8209
0.0048,149.0652
0.005,147.7212
0.0052,145.7942
0.0054,143.2918
0.0056,140.2239
0.0058,136.6025
0.006,132.4421
0.0062,127.759
0.0064,122.5717
0.0066,116.9007
0.0068,110.7683
0.007,104.1988
0.0072,97.218
0.0074,89.8535
0.0076,82.1345
0.0078,74.0913
0.008,65.7557
0.0082,57.1606
0.0084,48.3399
0.0086,39.3284
0.0088,30.1617
0.009,20.876
0.0092,11.5079
0.0094,2.0943
0.0096,-7.3275
0.0098,-16.7203
0.01,-26.0472
0.0102,-35.2713
0.0104,-44.3562
0.0106,-53.266
0.0108,-61.9657
0.011,-70.4207
0.0112,-78.5979
0.0114,-86.4648
0.0116,-93.9906
0.0118,-101.1454
0.012,-107.901
0.0122,-114.2307
0.0124,-120.1097
0.0126,-125.5146
0.0128,-130.4242
0.013,-134.8191
0.0132,-138.6819
0.0134,-141.9974
0.0136,-144.7525
0.0138,-146.9363
0.014,-148.5402
0.0142,-149.5579
0.0144,-149.9854
0.0146,-149.8209
0.0148,-149.0652
0.015,-147.7212
0.0152,-145.7942
0.0154,-143.2918
0.0156,-140.2239
0.0158,-136.6025
0.016,-132.4421
0.0162,-127.759
0.0164,-122.5717
0.0166,-116.9007
0.0168,-110.7683
0.017,-104.1988
0.0172,-97.218
0.0174,-89.8535
0.0176,-82.1345
0.0178,-74.0913
0.018,-65.7557
0.0182,-57.1606
0.0184,-48.3399
0.0186,-39.3284
0.0188,-30.1617
0.019,-20.876
0.0192,-11.5079
0.0194,-2.0943
0.0196,7.3275
0.0198,16.7203
0.02,26.0472
