time(s),10ms,40ms,70ms,100ms
0.0002,182.3011,184.5232,184.8434,184.9716
0.0004,188.4746,192.8637,193.5015,193.7574
0.0006,194.5307,201.0328,201.9858,202.3687
0.0008,200.4331,208.9955,210.2611,210.7705
0.001,206.1463,216.7172,218.2931,218.9282
0.0012,211.636,224.1647,226.0484,226.8086
0.0014,216.8686,231.3057,233.4946,234.3795
0.0016,221.8121,238.109,240.6009,241.6097
0.0018,226.4359,244.545,247.3374,248.4695
0.002,230.7106,250.5854,253.6759,254.9308
0.0022,234.6086,256.2035,259.5898,260.9668
0.0024,238.1039,261.3744,265.054,266.5526
0.0026,241.1724,266.0748,270.0454,271.6649
0.0028,243.7918,270.2833,274.5427,276.2825
0.003,245.9418,273.9806,278.5263,280.3859
0.0032,247.6043,277.1494,281.9791,283.9579
0.0034,248.7629,279.7742,284.8858,286.9831
0.0036,249.4039,281.8422,287.2332,289.4485
0.0038,249.5155,283.3422,289.0105,291.3432
0.004,249.0882,284.2658,290.2091,292.6586
0.0042,248.1149,284.6066,290.8226,293.3884
0.0044,246.5908,284.3605,290.847,293.5285
0.0046,244.5135,283.5258,290.2807,293.0772
0.0048,241.8827,282.1033,289.1242,292.0353
0.005,238.7008,280.0957,287.3806,290.4056
0.0052,234.9722,277.5085,285.0551,288.1935
0.0054,230.704,274.3491,282.1554,285.4066
0.0056,225.9052,270.6276,278.6913,282.0547
0.0058,220.5873,266.3559,274.6749,278.15
0.006,214.7639,261.5483,270.1206,273.7068
0.0062,208.4507,256.2213,265.0447,268.7415
0.0064,201.6656,250.3933,259.4657,263.2725
0.0066,194.4284,244.0848,253.4041,257.3203
0.0068,186.7608,237.318,246.8823,250.9074
0.007,178.6866,230.1173,239.9244,244.0578
0.0072,170.2308,222.5085,232.5564,236.7976
0.0074,161.4206,214.5192,224.8058,229.1543
0.0076,152.2844,206.1784,216.7017,221.1569
0.0078,142.8522,197.5165,208.2746,212.8359
0.008,133.155,188.5653,199.5561,204.2231
0.0082,123.2253,179.3577,190.5793,195.3514
0.0084,113.0964,169.9275,181.3779,186.2545
0.0086,102.8027,160.3096,171.9869,176.9675
0.0088,92.3791,150.5395,162.4417,167.5258
0.009,81.8614,140.6534,152.7786,157.9656
0.0092,71.2857,130.6879,143.0341,148.3236
0.0094,60.6885,120.68,133.2454,138.6367
0.0096,50.1065,110.6667,123.4494,128.9421
0.0098,39.5763,100.6853,113.6834,119.277
0.01,29.1347,90.7729,103.9845,109.6784
0.0102,18.8179,80.9662,94.3894,100.1831
0.0104,8.662,71.3015,84.9346,90.8276
0.0106,-1.2977,61.8148,75.6558,81.6477
0.0108,-11.0263,52.5413,66.5884,72.6785
0.011,-20.4901,43.5151,57.7666,63.9544
0.0112,-29.6559,34.7697,49.2237,55.5088
0.0114,-38.492,26.3373,40.992,47.3738
0.0116,-46.9676,18.249,33.1027,39.5807
0.0118,-55.0535,10.5344,25.5853,32.159
0.012,-62.7218,3.2218,18.4681,25.1371
0.0122,-69.9462,-3.6622,11.7778,18.5415
0.0124,-76.7021,-10.0927,5.5393,12.3973
0.0126,-82.9665,-16.0463,-0.2241,6.7276
0.0128,-88.7186,-21.5019,-5.4912,1.5538
0.013,-93.9393,-26.44,-10.2425,-3.1048
0.0132,-98.6116,-30.8433,-14.4607,-7.2308
0.0134,-102.7205,-34.6967,-18.1306,-10.8089
0.0136,-106.2534,-37.9869,-21.2391,-13.8261
0.0138,-109.1995,-40.7032,-23.7753,-16.2715
0.014,-111.5507,-42.837,-25.7306,-18.1365
0.0142,-113.3008,-44.3819,-27.0987,-19.4147
0.0144,-114.4462,-45.3339,-27.8755,-20.1022
0.0146,-114.9855,-45.6914,-28.0595,-20.1973
0.0148,-114.9195,-45.455,-27.6511,-19.7005
0.015,-114.2516,-44.6278,-26.6535,-18.615
0.0152,-112.9874,-43.2149,-25.0719,-16.9459
