time(s),10ms,40ms,70ms,100ms
0.0,264.9038,264.9038,264.9038,264.9038
0.0002,257.265,259.2649,259.553,259.6685
0.0004,249.1861,253.1362,253.7103,253.9406
0.0006,240.6875,246.5394,247.3971,247.7417
0.0008,231.7916,239.4977,240.6368,241.0952
0.001,222.5226,232.0364,233.4547,234.0263
0.0012,212.9064,224.1823,225.8776,226.5618
0.0014,202.9704,215.9638,217.9339,218.7302
0.0016,192.7435,207.4106,209.6533,210.5612
0.0018,182.2559,198.5541,201.0672,202.0861
0.002,171.5391,189.4265,192.2079,193.3373
0.0022,160.6258,180.0613,183.1089,184.3482
0.0024,149.5495,170.493,173.8046,175.1533
0.0026,138.3446,160.7567,164.3303,165.7879
0.0028,127.0461,150.8885,154.7219,156.2877
0.003,115.6897,140.9246,145.0158,146.6894
0.0032,104.3115,130.9021,135.2489,137.0297
0.0034,92.9476,120.8578,125.4582,127.3458
0.0036,81.6346,110.829,115.681,117.6748
0.0038,70.4088,100.8529,105.9543,108.0538
0.004,59.3065,90.9663,96.3152,98.5198
0.0042,48.3633,81.2058,86.8002,89.1094
0.0044,37.6149,71.6076,77.4455,79.8588
0.0046,27.096,62.2071,68.2864,70.8033
0.0048,16.8405,53.039,59.3578,61.9778
0.005,6.8816,44.1371,50.6935,53.416
0.0052,-2.7485,35.5342,42.3261,45.1507
0.0054,-12.0189,27.2618,34.2874,37.2135
0.0056,-20.8999,19.3503,26.6076,29.6347
0.0058,-29.3632,11.8285,19.3157,22.4432
0.006,-37.3822,4.7239,12.4389,15.6665
0.0062,-44.9315,-1.938,6.0031,9.3302
0.0064,-51.9879,-8.133,0.0322,3.4583
0.0066,-58.5297,-13.839,-5.4516,-1.927
0.0068,-64.5372,-19.0358,-10.428,-6.8054
0.007,-69.9928,-23.7051,-14.8788,-11.1587
0.0072,-74.8807,-27.8308,-18.7878,-14.9706
0.0074,-79.1875,-31.3988,-22.1409,-18.2272
0.0076,-82.9019,-34.3974,-24.9263,-20.9166
0.0078,-86.0146,-36.8167,-27.1344,-23.0292
0.008,-88.5189,-38.6496,-28.7579,-24.5576
0.0082,-90.4102,-39.891,-29.7916,-25.4967
0.0084,-91.6862,-40.5382,-30.2328,-25.8439
0.0086,-92.347,-40.5908,-30.0813,-25.5987
0.0088,-92.3952,-40.0508,-29.3388,-24.7631
0.009,-91.8352,-38.9225,-28.0098,-23.3414
0.0092,-90.6743,-37.2123,-26.1007,-21.3402
0.0094,-88.9217,-34.9294,-23.6205,-18.7683
0.0096,-86.5889,-32.0847,-20.5803,-15.6368
0.0098,-83.6898,-28.6917,-16.9934,-11.9592
0.01,-80.2401,-24.7657,-12.8753,-7.7508
0.0102,-76.2579,-20.3245,-8.2436,-3.0292
0.0104,-71.7631,-15.3875,-3.1178,2.1859
0.0106,-66.7777,-9.9765,2.4804,7.8731
0.0108,-61.3255,-4.1147,8.5278,14.0088
0.011,-55.432,2.1726,14.999,20.568
0.0112,-49.1244,8.8586,21.8672,27.5238
0.0114,-42.4315,15.9149,29.1042,34.8478
0.0116,-35.3834,23.3115,36.6799,42.5101
0.0118,-28.0118,31.0174,44.5632,50.4796
