time(s),10ms,40ms,70ms,100ms
0.0,262.2072,262.2072,262.2072,262.2072
0.0004,245.9482,249.8984,250.4724,250.7028
0.0008,228.0636,235.7698,236.9089,237.3672
0.0012,208.7471,220.023,221.7183,222.4025
0.0016,188.2184,202.8855,205.1282,206.0361
0.002,166.7196,184.607,187.3884,188.5178
0.0024,144.5116,165.4551,168.7667,170.1154
0.0028,121.8693,145.7116,149.545,151.1109
0.0032,99.0773,125.6679,130.0147,131.7956
0.0036,76.4257,105.6201,110.4721,112.4658
0.004,54.2049,85.8648,91.2137,93.4183
0.0044,32.7012,66.6939,72.5318,74.9451
0.0048,12.1921,48.3906,54.7095,57.3294
0.0052,-7.0582,31.2244,38.0164,40.841
0.0056,-24.803,15.4472,22.7045,25.7316
0.006,-40.8171,1.2889,9.004,12.2315
0.0064,-54.9005,-11.0456,-2.8804,0.5457
0.0068,-66.8816,-21.3801,-12.7723,-9.1497
0.0072,-76.6198,-29.5699,-20.5269,-16.7097
0.0076,-84.0083,-35.5038,-26.0328,-22.0231
0.008,-88.9752,-39.106,-29.2142,-25.0139
0.0084,-91.4852,-40.3372,-30.0319,-25.6429
0.0088,-91.54,-39.1957,-28.4837,-23.908
0.0092,-89.1785,-35.7166,-24.6049,-19.8444
0.0096,-84.4761,-29.9719,-18.4675,-13.524
0.01,-77.5435,-22.0691,-10.1787,-5.0542
0.0104,-68.5253,-12.1497,0.12,5.4237
0.0108,-57.5975,-0.3867,12.2557,17.7368
0.0112,-44.9651,13.018,26.0266,31.6831
0.0116,-30.8583,27.8366,41.205,47.0352
0.012,-15.5298,43.8195,57.5412,63.5433
0.0124,0.75,60.6985,74.7673,80.9394
0.0128,17.6966,78.1917,92.6013,98.9417
0.0132,35.0161,96.0075,110.7519,117.2588
0.0136,52.4098,113.8496,128.9226,135.5944
0.014,69.5789,131.4212,146.8169,153.6516
0.0144,86.2289,148.43,164.1425,171.1385
0.0148,102.0747,164.5928,180.6163,187.7718
0.0152,116.8446,179.6397,195.9685,203.2819
0.0156,130.2846,193.3189,209.9471,217.4167
0.016,142.1627,205.3999,222.322,229.9461
0.0164,152.2723,215.6778,232.8883,240.6652
0.0168,160.4354,223.9762,241.4696,249.3976
0.0172,166.5053,230.1501,247.9211,255.9986
0.0176,170.3693,234.0882,252.1313,260.3567
0.018,171.95,235.7144,254.0244,262.3961
0.0184,171.2065,234.9894,253.5611,262.0774
0.0188,168.1354,231.911,250.7393,259.3987
0.0192,162.7705,226.5144,245.5941,254.395
0.0196,155.1825,218.8712,238.1974,247.1383
0.02,145.4775,209.0889,228.6566,237.7359
0.0204,133.7955,197.3086,217.113,226.3291
0.0208,120.3085,183.7032,203.7395,213.0909
0.0212,105.2171,168.4745,188.738,198.2231
0.0216,88.7478,151.85,172.3358,181.9532
0.022,71.1494,134.0792,154.7829,164.531
0.0224,52.6888,115.4301,136.347,146.2244
0.0228,33.6468,96.1844,117.31,127.3152
0.0232,14.3141,76.6335,97.9633,108.0949
0.0236,-5.0139,57.0736,78.6033,88.8598
0.024,-24.0414,37.8013,59.5266,69.9065
0.0244,-42.477,19.1087,41.0252,51.5271
0.0248,-60.0383,1.2789,23.3824,34.005
0.0252,-76.4564,-15.4186,6.8679,17.6096
0.0256,-91.4801,-30.7317,-8.2666,2.593
0.026,-104.8797,-44.4305,-21.7906,-10.8147
0.0264,-116.4512,-56.3101,-33.4995,-22.4086
