time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0002,121.9651,121.9651,121.9651,121.9651,121.9651,121.9651
0.0004,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.0006,110.0595,110.0595,110.0595,110.0595,110.0595,110.0595
0.0008,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.001,96.4181,96.4181,96.4181,96.4181,96.4181,96.4181
0.0012,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.0014,81.2562,81.2562,81.2562,81.2562,81.2562,81.2562
0.0016,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.0018,64.8129,64.8129,64.8129,64.8129,64.8129,64.8129
0.002,56.191,56.191,56.191,56.191,56.191,56.191
0.0022,47.3474,47.3474,47.3474,47.3474,47.3474,47.3474
0.0024,38.3169,38.3169,38.3169,38.3169,38.3169,38.3169
0.0026,29.1352,29.1352,29.1352,29.1352,29.1352,29.1352
0.0028,19.8385,19.8385,19.8385,19.8385,19.8385,19.8385
0.003,10.4635,10.4635,10.4635,10.4635,10.4635,10.4635
0.0032,1.0472,1.0472,1.0472,1.0472,1.0472,1.0472
0.0034,-8.3732,-8.3732,-8.3732,-8.3732,-8.3732,-8.3732
0.0036,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.0038,-27.0779,-27.0779,-27.0779,-27.0779,-27.0779,-27.0779
0.004,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.0042,-45.3555,-45.3555,-45.3555,-45.3555,-45.3555,-45.3555
0.0044,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.0046,-62.9178,-62.9178,-62.9178,-62.9178,-62.9178,-62.9178
0.0048,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.005,-79.4879,-79.4879,-79.4879,-79.4879,-79.4879,-79.4879
0.0052,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.0054,-94.8044,-94.8044,-94.8044,-94.8044,-94.8044,-94.8044
0.0056,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.0058,-108.6258,-108.6258,-108.6258,-108.6258,-108.6258,-108.6258
0.006,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.0062,-120.7341,-120.7341,-120.7341,-120.7341,-120.7341,-120.7341
0.0064,-126.085,-126.085,-126.085,-126.085,-126.085,-126.085
0.0066,-130.9383,-130.9383,-130.9383,-130.9383,-130.9383,-130.9383
0.0068,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.007,-139.0776,-139.0776,-139.0776,-139.0776,-139.0776,-139.0776
0.0072,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.0074,-145.0235,-145.0235,-145.0235,-145.0235,-145.0235,-145.0235
0.0076,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
0.0078,-148.6823,-148.6823,-148.6823,-148.6823,-148.6823,-148.6823
0.008,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346
0.0082,-149.9963,-149.9963,-149.9963,-149.9963,-149.9963,-149.9963
0.0084,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661
0.0086,-148.9448,-148.9448,-148.9448,-148.9448,-148.9448,-148.9448
0.0088,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357
0.009,-145.5444,-145.5444,-145.5444,-145.5444,-145.5444,-145.5444
0.0092,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786
0.0094,-139.8486,-139.8486,-139.8486,-139.8486,-139.8486,-139.8486
0.0096,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666
0.0098,-131.9473,-131.9473,-131.9473,-131.9473,-131.9473,-131.9473
0.01,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072
0.0102,-121.9651,-121.9651,-121.9651,-121.9651,-121.9651,-121.9651
0.0104,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417
0.0106,-110.0595,-110.0595,-110.0595,-110.0595,-110.0595,-110.0595
0.0108,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429
0.011,-96.4181,-96.4181,-96.4181,-96.4181,-96.4181,-96.4181
0.0112,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128
0.0114,-81.2562,-81.2562,-81.2562,-81.2562,-81.2562,-81.2562
0.0116,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789
0.0118,-64.8129,-64.8129,-64.8129,-64.8129,-64.8129,-64.8129
0.012,-56.191,-56.191,-56.191,-56.191,-56.191,-56.191
0.0122,-47.3474,-47.3474,-47.3474,-47.3474,-47.3474,-47.3474
0.0124,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169
0.0126,-29.1352,-29.1352,-29.1352,-29.1352,-29.1352,-29.1352
0.0128,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385
0.013,-10.4635,-10.4635,-10.4635,-10.4635,-10.4635,-10.4635
0.0132,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.0134,8.3732,8.3732,8.3732,8.3732,8.3732,8.3732
0.0136,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.0138,27.0779,27.0779,27.0779,27.0779,27.0779,27.0779
0.014,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.0142,45.3555,45.3555,45.3555,45.3555,45.3555,45.3555
0.0144,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.0146,62.9178,62.9178,62.9178,62.9178,62.9178,62.9178
0.0148,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.015,79.4879,79.4879,79.4879,79.4879,79.4879,79.4879
0.0152,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.0154,94.8044,94.8044,94.8044,94.8044,94.8044,94.8044
0.0156,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.0158,108.6258,108.6258,108.6258,108.6258,108.6258,108.6258
0.016,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.0162,120.7341,120.7341,120.7341,120.7341,120.7341,120.7341
0.0164,126.085,126.085,126.085,126.085,126.085,126.085
0.0166,130.9383,130.9383,130.9383,130.9383,130.9383,130.9383
0.0168,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.017,139.0776,139.0776,139.0776,139.0776,139.0776,139.0776
0.0172,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.0174,145.0235,145.0235,145.0235,145.0235,145.0235,145.0235
0.0176,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.0178,148.6823,148.6823,148.6823,148.6823,148.6823,148.6823
0.018,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.0182,149.9963,149.9963,149.9963,149.9963,149.9963,149.9963
0.0184,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.0186,148.9448,148.9448,148.9448,148.9448,148.9448,148.9448
0.0188,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.019,145.5444,145.5444,145.5444,145.5444,145.5444,145.5444
0.0192,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0194,139.8486,139.8486,139.8486,139.8486,139.8486,139.8486
0.0196,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.0198,131.9473,131.9473,131.9473,131.9473,131.9473,131.9473
0.02,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0202,121.9651,121.9651,121.9651,121.9651,121.9651,121.9651
0.0204,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.0206,110.0595,110.0595,110.0595,110.0595,110.0595,110.0595
0.0208,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.021,96.4181,96.4181,96.4181,96.4181,96.4181,96.4181
0.0212,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.0214,81.2562,81.2562,81.2562,81.2562,81.2562,81.2562
0.0216,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.0218,64.8129,64.8129,64.8129,64.8129,64.8129,64.8129
