time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0,139.9279,139.9279,139.9279,139.9279,139.9279,139.9279,139.9279,139.9279,139.9279
0.0004,127.9968,127.9968,127.9968,127.9968,127.9968,127.9967,127.9967,127.9967,127.9966
0.0008,114.0872,114.0872,114.0871,114.0871,114.087,114.087,114.0869,114.0868,114.0866
0.0012,98.4141,98.4141,98.414,98.4139,98.4138,98.4137,98.4135,98.4133,98.4131
0.0016,81.2198,81.2198,81.2197,81.2196,81.2194,81.2192,81.219,81.2187,81.2183
0.002,62.7701,62.7701,62.77,62.7698,62.7696,62.7694,62.7691,62.7687,62.7683
0.0024,43.3501,43.3501,43.35,43.3499,43.3497,43.3494,43.3491,43.3488,43.3483
0.0028,23.2601,23.2601,23.26,23.2599,23.2598,23.2596,23.2594,23.2591,23.2588
0.0032,2.8105,2.8105,2.8105,2.8105,2.8105,2.8105,2.8104,2.8104,2.8103
0.0036,-17.6825,-17.6824,-17.6824,-17.6822,-17.6821,-17.6818,-17.6815,-17.6812,-17.6808
0.004,-37.9022,-37.9021,-37.9019,-37.9015,-37.9011,-37.9005,-37.8997,-37.8988,-37.8978
0.0044,-57.536,-57.5359,-57.5355,-57.5349,-57.534,-57.5329,-57.5315,-57.5299,-57.528
0.0048,-76.2805,-76.2803,-76.2797,-76.2787,-76.2773,-76.2755,-76.2734,-76.2708,-76.2679
0.0052,-93.8459,-93.8456,-93.8447,-93.8433,-93.8413,-93.8388,-93.8356,-93.8319,-93.8277
0.0056,-109.9607,-109.9603,-109.9591,-109.9572,-109.9545,-109.951,-109.9468,-109.9417,-109.9359
0.006,-124.3758,-124.3753,-124.3738,-124.3713,-124.3678,-124.3633,-124.3577,-124.3512,-124.3437
0.0064,-136.8684,-136.8678,-136.8659,-136.8628,-136.8584,-136.8527,-136.8458,-136.8377,-136.8282
0.0068,-147.2455,-147.2447,-147.2424,-147.2386,-147.2333,-147.2264,-147.218,-147.2081,-147.1966
0.0072,-155.3465,-155.3456,-155.3429,-155.3384,-155.3321,-155.3239,-155.314,-155.3023,-155.2888
0.0076,-161.0463,-161.0453,-161.0422,-161.037,-161.0297,-161.0203,-161.0088,-160.9953,-160.9796
0.008,-164.2568,-164.2557,-164.2521,-164.2462,-164.238,-164.2274,-164.2144,-164.1991,-164.1814
0.0084,-164.9284,-164.9271,-164.9232,-164.9167,-164.9075,-164.8958,-164.8814,-164.8645,-164.8449
0.0088,-163.0506,-163.0492,-163.045,-163.0379,-163.028,-163.0152,-162.9997,-162.9813,-162.9601
0.0092,-158.6526,-158.651,-158.6465,-158.639,-158.6285,-158.6149,-158.5984,-158.5788,-158.5563
0.0096,-151.8022,-151.8006,-151.7959,-151.788,-151.7771,-151.763,-151.7457,-151.7254,-151.7019
0.01,-142.6053,-142.6037,-142.5989,-142.591,-142.5798,-142.5654,-142.5478,-142.5271,-142.5031
0.0104,-131.2042,-131.2027,-131.1979,-131.1899,-131.1788,-131.1645,-131.147,-131.1263,-131.1025
0.0108,-117.7751,-117.7736,-117.7689,-117.7612,-117.7505,-117.7366,-117.7197,-117.6997,-117.6766
0.0112,-102.5255,-102.524,-102.5197,-102.5125,-102.5024,-102.4895,-102.4736,-102.4549,-102.4333
0.0116,-85.6911,-85.6898,-85.686,-85.6795,-85.6704,-85.6588,-85.6446,-85.6278,-85.6085
0.012,-67.5322,-67.5311,-67.5279,-67.5224,-67.5148,-67.505,-67.493,-67.4789,-67.4625
0.0124,-48.3295,-48.3286,-48.3261,-48.322,-48.3161,-48.3086,-48.2995,-48.2887,-48.2762
0.0128,-28.3796,-28.3791,-28.3776,-28.375,-28.3713,-28.3666,-28.3609,-28.3541,-28.3463
0.0132,-7.9912,-7.991,-7.9906,-7.9898,-7.9887,-7.9873,-7.9856,-7.9835,-7.9812
0.0136,12.5208,12.5206,12.5198,12.5185,12.5167,12.5143,12.5115,12.5081,12.5042
0.014,32.8393,32.8385,32.8364,32.8328,32.8277,32.8212,32.8133,32.804,32.7932
0.0144,52.6501,52.6489,52.6452,52.6391,52.6305,52.6195,52.6061,52.5902,52.572
0.0148,71.6472,71.6454,71.6401,71.6313,71.619,71.6032,71.5839,71.5611,71.5348
0.0152,89.5367,89.5344,89.5274,89.5158,89.4996,89.4788,89.4533,89.4233,89.3887
0.0156,106.0423,106.0394,106.0307,106.0163,105.996,105.97,105.9383,105.9008,105.8577
0.016,120.9088,120.9053,120.8949,120.8775,120.8533,120.8221,120.784,120.7391,120.6874
0.0164,133.9063,133.9023,133.8902,133.87,133.8418,133.8055,133.7612,133.709,133.6487
