time(s),48.0Hz,48.25Hz,48.5Hz,48.75Hz,49.0Hz,49.25Hz,49.5Hz,49.75Hz,50.0Hz,50.25Hz,50.5Hz,50.75Hz,51.0Hz,51.25Hz,51.5Hz,51.75Hz,52.0Hz
0.0,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0002,122.1842,122.1568,122.1295,122.1021,122.0747,122.0474,122.02,121.9925,121.9651,121.9377,121.9102,121.8828,121.8553,121.8278,121.8003,121.7728,121.7453
0.0004,116.7167,116.6575,116.5983,116.5389,116.4796,116.4202,116.3607,116.3012,116.2417,116.1821,116.1224,116.0628,116.003,115.9433,115.8834,115.8236,115.7637
0.0006,110.8248,110.7295,110.634,110.5385,110.4429,110.3472,110.2514,110.1555,110.0595,109.9634,109.8672,109.7709,109.6745,109.578,109.4814,109.3847,109.2879
0.0008,104.5297,104.3944,104.259,104.1234,103.9876,103.8517,103.7156,103.5794,103.4429,103.3063,103.1696,103.0327,102.8956,102.7584,102.621,102.4834,102.3457
0.001,97.8545,97.6758,97.4968,97.3176,97.1382,96.9586,96.7787,96.5985,96.4181,96.2375,96.0567,95.8756,95.6943,95.5127,95.3309,95.1489,94.9666
0.0012,90.8233,90.5981,90.3726,90.1468,89.9206,89.6941,89.4674,89.2403,89.0128,88.7851,88.557,88.3287,88.1,87.871,87.6417,87.4121,87.1822
0.0014,83.4617,83.1875,82.9128,82.6377,82.3622,82.0863,81.81,81.5333,81.2562,80.9788,80.7009,80.4226,80.144,79.865,79.5856,79.3058,79.0256
0.0016,75.7967,75.4711,75.1451,74.8185,74.4916,74.1641,73.8362,73.5078,73.1789,72.8496,72.5199,72.1896,71.8589,71.5278,71.1962,70.8642,70.5317
0.0018,67.8559,67.4774,67.0983,66.7187,66.3386,65.958,65.5768,65.1951,64.8129,64.4301,64.0469,63.6631,63.2788,62.894,62.5088,62.123,61.7367
0.002,59.6683,59.2356,58.8024,58.3686,57.9342,57.4992,57.0637,56.6276,56.191,55.7538,55.316,54.8777,54.4389,53.9995,53.5596,53.1192,52.6782
0.0022,51.2637,50.7762,50.2881,49.7995,49.3102,48.8204,48.3299,47.8389,47.3474,46.8552,46.3625,45.8693,45.3754,44.8811,44.3862,43.8908,43.3949
0.0024,42.6726,42.1302,41.5871,41.0435,40.4993,39.9546,39.4092,38.8633,38.3169,37.7699,37.2223,36.6743,36.1257,35.5766,35.027,34.4769,33.9263
0.0026,33.9263,33.3293,32.7317,32.1336,31.5349,30.9358,30.3361,29.7359,29.1352,28.534,27.9323,27.3302,26.7276,26.1246,25.5211,24.9172,24.3129
0.0028,25.0566,24.4059,23.7547,23.1031,22.451,21.7985,21.1456,20.4922,19.8385,19.1843,18.5298,17.875,17.2198,16.5642,15.9084,15.2522,14.5957
0.003,16.0958,15.3928,14.6895,13.9859,13.282,12.5778,11.8733,11.1685,10.4635,9.7582,9.0528,8.3471,7.6412,6.9352,6.229,5.5227,4.8163
