time(s),0.0Hz,0.25Hz,0.5Hz,0.75Hz,1.0Hz,1.25Hz,1.5Hz,1.75Hz,2.0Hz
0.0,118.6362,118.6362,118.6362,118.6362,118.6362,118.6362,118.6362,118.6362,118.6362
0.0002,112.6385,112.6385,112.6385,112.6385,112.6385,112.6385,112.6385,112.6385,112.6385
0.0004,106.1963,106.1963,106.1963,106.1963,106.1963,106.1964,106.1964,106.1964,106.1964
0.0006,99.335,99.335,99.335,99.335,99.3351,99.3351,99.3352,99.3352,99.3353
0.0008,92.0817,92.0817,92.0817,92.0817,92.0818,92.0819,92.082,92.0821,92.0823
0.001,84.4649,84.4649,84.465,84.4651,84.4652,84.4653,84.4655,84.4657,84.4659
0.0012,76.5148,76.5149,76.5149,76.5151,76.5152,76.5154,76.5157,76.516,76.5163
0.0014,68.2628,68.2628,68.2629,68.2631,68.2633,68.2636,68.264,68.2644,68.2649
0.0016,59.7413,59.7414,59.7415,59.7417,59.742,59.7424,59.7429,59.7435,59.7441
0.0018,50.9841,50.9842,50.9843,50.9846,50.985,50.9855,50.9861,50.9869,50.9877
0.002,42.0257,42.0257,42.026,42.0263,42.0268,42.0275,42.0282,42.0292,42.0302
0.0022,32.9014,32.9015,32.9017,32.9022,32.9028,32.9036,32.9045,32.9057,32.907
0.0024,23.6472,23.6474,23.6477,23.6482,23.6489,23.6499,23.651,23.6524,23.654
0.0026,14.2998,14.2999,14.3003,14.3009,14.3018,14.3029,14.3043,14.3059,14.3078
0.0028,4.8959,4.896,4.8965,4.8972,4.8982,4.8995,4.9011,4.903,4.9052
0.003,-4.5273,-4.5272,-4.5267,-4.5258,-4.5247,-4.5232,-4.5213,-4.5192,-4.5167
0.0032,-13.9327,-13.9325,-13.9319,-13.931,-13.9297,-13.928,-13.9259,-13.9234,-13.9206
0.0034,-23.2831,-23.2828,-23.2822,-23.2812,-23.2797,-23.2778,-23.2755,-23.2727,-23.2695
0.0036,-32.5415,-32.5413,-32.5406,-32.5394,-32.5378,-32.5357,-32.5331,-32.5301,-32.5266
0.0038,-41.6716,-41.6713,-41.6706,-41.6693,-41.6675,-41.6652,-41.6623,-41.659,-41.6552
0.004,-50.6372,-50.6369,-50.6361,-50.6347,-50.6327,-50.6302,-50.6272,-50.6235,-50.6194
0.0042,-59.4029,-59.4026,-59.4017,-59.4002,-59.3981,-59.3954,-59.3921,-59.3883,-59.3838
0.0044,-67.9343,-67.9339,-67.933,-67.9314,-67.9291,-67.9263,-67.9228,-67.9186,-67.9138
0.0046,-76.1975,-76.1971,-76.1961,-76.1944,-76.1921,-76.189,-76.1853,-76.1809,-76.1759
0.0048,-84.16,-84.1596,-84.1585,-84.1568,-84.1543,-84.1511,-84.1473,-84.1427,-84.1374
0.005,-91.7903,-91.7899,-91.7888,-91.787,-91.7845,-91.7812,-91.7771,-91.7724,-91.7669
0.0052,-99.0584,-99.058,-99.0569,-99.055,-99.0524,-99.049,-99.0449,-99.04,-99.0344
0.0054,-105.9356,-105.9352,-105.934,-105.9321,-105.9295,-105.926,-105.9218,-105.9169,-105.9111
0.0056,-112.3947,-112.3943,-112.3931,-112.3912,-112.3885,-112.385,-112.3808,-112.3758,-112.3701
0.0058,-118.4102,-118.4098,-118.4086,-118.4067,-118.4041,-118.4006,-118.3964,-118.3914,-118.3857
0.006,-123.9584,-123.958,-123.9569,-123.955,-123.9524,-123.949,-123.9449,-123.94,-123.9344
0.0062,-129.0174,-129.017,-129.0159,-129.0141,-129.0116,-129.0083,-129.0043,-128.9996,-128.9941
0.0064,-133.5672,-133.5668,-133.5658,-133.5641,-133.5617,-133.5586,-133.5548,-133.5503,-133.5451
0.0066,-137.5899,-137.5895,-137.5886,-137.587,-137.5847,-137.5818,-137.5783,-137.5741,-137.5693
0.0068,-141.0696,-141.0693,-141.0684,-141.0669,-141.0649,-141.0623,-141.0591,-141.0553,-141.0509
0.007,-143.9925,-143.9923,-143.9915,-143.9902,-143.9884,-143.9862,-143.9834,-143.9801,-143.9762
0.0072,-146.3472,-146.347,-146.3463,-146.3453,-146.3438,-146.3419,-146.3396,-146.3369,-146.3337
0.0074,-148.1243,-148.1241,-148.1237,-148.1229,-148.1217,-148.1203,-148.1185,-148.1165,-148.1141
0.0076,-149.3168,-149.3167,-149.3164,-149.3159,-149.3152,-149.3143,-149.3132,-149.3118,-149.3103
0.0078,-149.9201,-149.92,-149.9199,-149.9197,-149.9195,-149.9192,-149.9188,-149.9183,-149.9177
0.008,-149.9317,-149.9317,-149.9318,-149.932,-149.9322,-149.9326,-149.9329,-149.9334,-149.9339
0.0082,-149.3515,-149.3516,-149.352,-149.3526,-149.3534,-149.3544,-149.3557,-149.3572,-149.3589
0.0084,-148.182,-148.1822,-148.1828,-148.1838,-148.1852,-148.187,-148.1893,-148.1919,-148.1949
0.0086,-146.4276,-146.4279,-146.4288,-146.4303,-146.4324,-146.435,-146.4383,-146.4421,-146.4466
0.0088,-144.0954,-144.0958,-144.097,-144.099,-144.1017,-144.1053,-144.1097,-144.1149,-144.1208
0.009,-141.1945,-141.195,-141.1965,-141.199,-141.2026,-141.2071,-141.2127,-141.2192,-141.2268
0.0092,-137.7363,-137.7369,-137.7388,-137.7419,-137.7462,-137.7518,-137.7586,-137.7667,-137.7759
0.0094,-133.7346,-133.7353,-133.7375,-133.7412,-133.7464,-133.7531,-133.7612,-133.7708,-133.7819
0.0096,-129.2051,-129.2059,-129.2085,-129.2129,-129.2189,-129.2267,-129.2362,-129.2474,-129.2604
0.0098,-124.1656,-124.1666,-124.1696,-124.1746,-124.1816,-124.1905,-124.2015,-124.2144,-124.2293
0.01,-118.6362,-118.6373,-118.6407,-118.6463,-118.6543,-118.6645,-118.6769,-118.6916,-118.7085
0.0102,-112.6385,-112.6398,-112.6436,-112.6499,-112.6588,-112.6703,-112.6842,-112.7007,-112.7197
0.0104,-106.1963,-106.1977,-106.202,-106.209,-106.2189,-106.2316,-106.2471,-106.2655,-106.2866
0.0106,-99.335,-99.3366,-99.3412,-99.349,-99.3599,-99.3739,-99.391,-99.4112,-99.4345
0.0108,-92.0817,-92.0834,-92.0885,-92.097,-92.1089,-92.1242,-92.1429,-92.165,-92.1905
0.011,-84.4649,-84.4668,-84.4723,-84.4816,-84.4945,-84.5112,-84.5315,-84.5555,-84.5831
0.0112,-76.5148,-76.5168,-76.5228,-76.5328,-76.5468,-76.5647,-76.5866,-76.6125,-76.6424
0.0114,-68.2628,-68.2649,-68.2714,-68.2821,-68.297,-68.3163,-68.3398,-68.3676,-68.3996
0.0116,-59.7413,-59.7436,-59.7505,-59.7619,-59.7779,-59.7984,-59.8235,-59.8531,-59.8872
0.0118,-50.9841,-50.9865,-50.9938,-51.0059,-51.0229,-51.0446,-51.0713,-51.1027,-51.1389
0.012,-42.0257,-42.0282,-42.0359,-42.0487,-42.0666,-42.0896,-42.1177,-42.1508,-42.1891
0.0122,-32.9014,-32.9041,-32.9121,-32.9256,-32.9444,-32.9685,-32.998,-33.0329,-33.073
0.0124,-23.6472,-23.6501,-23.6585,-23.6725,-23.6922,-23.7174,-23.7483,-23.7847,-23.8267
0.0126,-14.2998,-14.3027,-14.3115,-14.3261,-14.3466,-14.3728,-14.4049,-14.4429,-14.4866
0.0128,-4.8959,-4.8989,-4.908,-4.9231,-4.9443,-4.9716,-5.0048,-5.0441,-5.0894
0.013,4.5273,4.5242,4.5148,4.4992,4.4773,4.4493,4.4149,4.3744,4.3277
0.0132,13.9327,13.9295,13.9199,13.9038,13.8814,13.8525,13.8173,13.7756,13.7277
0.0134,23.2831,23.2798,23.2699,23.2535,23.2306,23.2011,23.165,23.1225,23.0734
0.0136,32.5415,32.5382,32.5282,32.5115,32.4881,32.4581,32.4214,32.3781,32.3282
0.0138,41.6716,41.6682,41.6581,41.6411,41.6175,41.587,41.5499,41.506,41.4554
0.014,50.6372,50.6338,50.6235,50.6065,50.5826,50.5519,50.5144,50.4702,50.4192
0.0142,59.4029,59.3995,59.3892,59.3721,59.3481,59.3174,59.2797,59.2353,59.1842
0.0144,67.9343,67.9308,67.9206,67.9035,67.8795,67.8488,67.8113,67.7669,67.7158
0.0146,76.1975,76.1941,76.1839,76.1669,76.1431,76.1126,76.0753,76.0313,75.9805
0.0148,84.16,84.1566,84.1465,84.1298,84.1063,84.0762,84.0393,83.9958,83.9457
0.015,91.7903,91.787,91.7771,91.7607,91.7377,91.7081,91.6719,91.6292,91.58
0.0152,99.0584,99.0552,99.0456,99.0295,99.0071,98.9782,98.943,98.9014,98.8534
0.0154,105.9356,105.9325,105.9231,105.9076,105.8859,105.858,105.8239,105.7836,105.7372
0.0156,112.3947,112.3917,112.3827,112.3678,112.347,112.3202,112.2874,112.2488,112.2042
0.0158,118.4102,118.4073,118.3988,118.3846,118.3648,118.3393,118.3082,118.2714,118.229
0.016,123.9584,123.9557,123.9477,123.9344,123.9157,123.8917,123.8624,123.8278,123.788
