time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0004,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.0008,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.0012,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
0.0016,73.1789,73.1789,73.1789,73.1789,73.1789,73.1789
0.002,56.191,56.191,56.191,56.191,56.191,56.191
0.0024,38.3169,38.3169,38.3169,38.3169,38.3169,38.3169
0.0028,19.8385,19.8385,19.8385,19.8385,19.8385,19.8385
0.0032,1.0472,1.0472,1.0472,1.0472,1.0472,1.0472
0.0036,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606,-17.7606
0.004,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883,-36.2883
0.0044,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437,-54.2437
0.0048,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436,-71.3436
0.0052,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184,-87.3184
0.0056,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162,-101.9162
0.006,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067,-114.9067
0.0064,-126.085,-126.085,-126.085,-126.085,-126.085,-126.085
0.0068,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749,-135.2749
0.0072,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314,-142.3314
0.0076,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433,-147.1433
0.008,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346,-149.6346
0.0084,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661,-149.7661
0.0088,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357,-147.5357
0.0092,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786,-142.9786
0.0096,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666,-136.1666
0.01,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072,-127.2072
0.0104,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417,-116.2417
0.0108,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429,-103.4429
0.0112,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128,-89.0128
0.0116,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789,-73.1789
0.012,-56.191,-56.191,-56.191,-56.191,-56.191,-56.191
0.0124,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169,-38.3169
0.0128,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385,-19.8385
0.0132,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472,-1.0472
0.0136,17.7606,17.7606,17.7606,17.7606,17.7606,17.7606
0.014,36.2883,36.2883,36.2883,36.2883,36.2883,36.2883
0.0144,54.2437,54.2437,54.2437,54.2437,54.2437,54.2437
0.0148,71.3436,71.3436,71.3436,71.3436,71.3436,71.3436
0.0152,87.3184,87.3184,87.3184,87.3184,87.3184,87.3184
0.0156,101.9162,101.9162,101.9162,101.9162,101.9162,101.9162
0.016,114.9067,114.9067,114.9067,114.9067,114.9067,114.9067
0.0164,126.085,126.085,126.085,126.085,126.085,126.085
0.0168,135.2749,135.2749,135.2749,135.2749,135.2749,135.2749
0.0172,142.3314,142.3314,142.3314,142.3314,142.3314,142.3314
0.0176,147.1433,147.1433,147.1433,147.1433,147.1433,147.1433
0.018,149.6346,149.6346,149.6346,149.6346,149.6346,149.6346
0.0184,149.7661,149.7661,149.7661,149.7661,149.7661,149.7661
0.0188,147.5357,147.5357,147.5357,147.5357,147.5357,147.5357
0.0192,142.9786,142.9786,142.9786,142.9786,142.9786,142.9786
0.0196,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.02,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0204,116.2417,116.2417,116.2417,116.2417,116.2417,116.2417
0.0208,103.4429,103.4429,103.4429,103.4429,103.4429,103.4429
0.0212,89.0128,89.0128,89.0128,89.0128,89.0128,89.0128
